ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-10 23:58:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0129548076850673;0;0.40599998831749
2017-11-11 00:00:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105896146735176;0;0.40599998831749
2017-11-11 00:02:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0137770722620189;0;0.40599998831749
2017-11-11 00:04:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0115893170936033;0;0.40599998831749
2017-11-11 00:06:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00992213206676145;0;0.40599998831749
2017-11-11 00:08:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105427184142172;0;0.40599998831749
2017-11-11 00:10:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0114704980592554;0;0.40599998831749
2017-11-11 00:12:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00938824284045647;0;0.40599998831749
2017-11-11 00:14:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0105073968258997;0;0.40599998831749
2017-11-11 00:16:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0149609903649737;0;0.40599998831749
2017-11-11 00:18:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0118595842427264;0;0.40599998831749
2017-11-11 00:20:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00877172249990205;0;0.40599998831749
2017-11-11 00:22:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00914288902034362;0;0.40599998831749
2017-11-11 00:24:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00975950030454745;0;0.40599998831749
